URL,Text Chunk,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Gunning Fog Index,Automated Readability Index,Coleman Liau Index,Dale-Chall Readability Score,Linsear Write Formula,Difficult Words,Total Number of Sentences,Total Number of Words,Sentiment,Sentiment Category
https://africam.berkeley.edu/,Academic Personnel LeaveBusiness & FinancePurchasing ServicesReimbursements,-136.65,33.6,0.0,42.0,47.0,58.32,19.67,7.0,5,1,5,0.0,Neutral
https://africam.berkeley.edu/,"University of California, Berkeley",-34.11,19.0,0.0,21.6,17.1,20.3,15.68,3.0,3,1,4,0.0,Neutral
https://africam.berkeley.edu/,Follow us:,77.91,2.9,0.0,0.8,0.8,-7.41,0.1,0.0,0,1,2,0.0,Neutral
https://africam.berkeley.edu/,Powered by Open Berkeley,75.88,3.7,0.0,1.6,5.3,7.25,11.73,1.0,2,1,4,0.0,Neutral
https://africam.berkeley.edu/,AccessibilityStatement,-470.99,79.2,0.0,40.4,82.7,82.2,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/,NondiscriminationPolicy Statement,-218.2,44.2,0.0,20.8,54.9,62.2,19.53,1.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/,PrivacyStatement,-217.19,43.8,0.0,40.4,54.4,47.4,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/,Copyright © 2025 UC Regents; all rights reserved,81.29,3.7,0.0,2.8,9.7,12.36,17.52,3.0,3,1,7,0.0,Neutral
https://africam.berkeley.edu/,Back to Top,119.19,-2.7,0.0,1.2,-5.9,-8.18,0.15,0.5,0,1,3,0.2023,Positive
https://africam.berkeley.edu/major-and-minor-requirements/,Undergraduate Program,-91.3,26.5,0.0,20.8,26.7,27.4,19.53,1.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Major and Minor Requirements,33.58,9.6,0.0,11.6,10.0,13.05,11.73,2.0,2,1,4,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Major Requirements,-6.7,14.7,0.0,20.8,19.6,18.7,11.63,1.0,1,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,"To declare the major in African American Studies, students must complete three prerequisite courses. To complete the major students must take four upper division core courses and four upper division elective courses.Major Declaration Form",43.09,10.1,11.2,8.05,12.6,15.99,9.31,6.666666666666667,9,3,34,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Pre-requisite Requirements:,-91.3,26.5,0.0,40.8,40.8,39.0,27.42,2.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Upper Division Core Requirements:,8.2,13.1,0.0,21.6,15.9,18.85,15.68,3.0,2,1,4,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Elective Requirements:,-6.7,14.7,0.0,20.8,29.0,27.4,19.53,1.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Students must complete four additional upper division elective courses. At least 3 courses must come from within the department.,53.37,8.2,0.0,10.12,10.6,13.89,11.59,5.25,8,2,19,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Honors Program,35.61,8.8,0.0,0.8,10.2,7.1,19.53,0.0,2,1,2,0.5106,Positive
https://africam.berkeley.edu/major-and-minor-requirements/,"To be eligible for admission to the honors program, a student must have completed at least two semesters at UC Berkeley and have attained senior standing with a GPA of 3.3 or higher in all University work, as well as a 3.5 GPA or higher in the African American Studies major. Students in the program are required to take AFRICAM 195 senior capstone course to be completed in the fall semester of their senior year and must complete AFRICAM 100 and 101 prerequisite for AFRICAM 195 (to be taken prior to or concurrently with AFRICAM 195).  Students must receive a minimum of a B or above in AFRICAM 195 to enroll into AFRICAM H195 (Honors Thesis) the following semester culminating in the completion of a senior honors thesis. In order to be considered for the honor of Valedictorian, African American Studies majors must pursue the Honors Thesis and enroll in both the Senior Capstone course (Fall) and the Senior Honors Thesis course (Spring).  The Valedictorian will be selected based on the highest GPA and pursuance of an honors thesis.",53.95,12.1,12.5,13.15,14.0,10.28,8.96,11.8,33,7,179,0.9674,Positive
https://africam.berkeley.edu/major-and-minor-requirements/,"For more information, please contact Eric Cheatham ateric_cheatham@berkeley.edu.",29.52,11.1,0.0,8.2,25.6,30.41,17.85,5.0,5,1,8,0.3774,Positive
https://africam.berkeley.edu/major-and-minor-requirements/,Minor Requirements,-6.7,14.7,0.0,20.8,19.6,18.7,19.53,1.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,"Students who have a strong interest in an area of study outside their major, often decide to complete a minor program. These programs have set requirements and are noted officially on the transcript in the memoranda section, but are not noted on diplomas.",49.65,11.7,0.0,12.32,12.6,10.91,9.84,12.75,13,2,43,0.4854,Positive
https://africam.berkeley.edu/major-and-minor-requirements/,General Guidelines,-6.7,14.7,0.0,0.8,19.6,18.7,11.63,1.0,1,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Requirements,-47.99,20.2,0.0,40.4,35.6,24.2,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,"To apply for the minor in African American Studies, students must submit the departmental minor application once they have decided to minor in the program. The form may be obtained from 660 Social Sciences Building oronline.  After completion of the minor requirements, students must submit a Completion of L&S Minor Program form, which may be obtained either at 664A Social Sciences Building oronline. The Completion of the L&S Minor Program form should be submitted to the department undergraduate adviser the semester before the student plans to graduate.Please see the undergraduate adviser for advice while pursuing the minor program.",43.12,12.1,13.7,12.74,14.4,14.16,9.44,13.2,24,5,98,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Address,36.62,8.4,0.0,0.4,12.0,-4.81,0.05,-0.5,0,1,1,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,"660 Social Sciences Building #2572Berkeley, CA 94720",64.37,6.0,0.0,2.8,13.0,16.54,17.52,2.5,3,1,7,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,"Office Hours:Monday – Friday 9am-12pm, 1pm–4pm",49.48,7.6,0.0,2.0,19.7,20.04,19.67,2.0,0,1,5,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Phone / Email,120.21,-3.1,0.0,0.8,5.5,-1.61,11.63,0.5,0,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Voice: (510) 642-7084Fax: (510) 642-0318,100.24,0.5,0.0,2.0,15.0,10.76,16.52,1.5,1,1,5,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Administration,-217.19,43.8,0.0,40.4,45.0,35.8,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Academic Personnel LeaveBusiness & FinancePurchasing ServicesReimbursements,-136.65,33.6,0.0,42.0,47.0,58.32,19.67,7.0,5,1,5,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,"University of California, Berkeley",-34.11,19.0,0.0,21.6,17.1,20.3,15.68,3.0,3,1,4,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Follow us:,77.91,2.9,0.0,0.8,0.8,-7.41,0.1,0.0,0,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Powered by Open Berkeley,75.88,3.7,0.0,1.6,5.3,7.25,11.73,1.0,2,1,4,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,AccessibilityStatement,-470.99,79.2,0.0,40.4,82.7,82.2,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,NondiscriminationPolicy Statement,-218.2,44.2,0.0,20.8,54.9,62.2,19.53,1.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,PrivacyStatement,-217.19,43.8,0.0,40.4,54.4,47.4,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Copyright © 2025 UC Regents; all rights reserved,81.29,3.7,0.0,2.8,9.7,12.36,17.52,3.0,3,1,7,0.0,Neutral
https://africam.berkeley.edu/major-and-minor-requirements/,Back to Top,119.19,-2.7,0.0,1.2,-5.9,-8.18,0.15,0.5,0,1,3,0.2023,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Undergraduate Advising,-133.6,32.4,0.0,40.8,29.0,30.3,19.53,2.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,The Department of African American Studies (AAS) Undergraduate Advising office provides our students with the following assistance to help guide them through the academic bureaucracy and hopefully ensure that they have a successful undergraduate experience at Berkeley.,0.08,22.4,0.0,24.53,26.7,19.39,12.3,30.5,14,1,37,0.8957,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,AAS Undergraduate AdvisorEric Cheatham510-642-8513eric_cheatham@berkeley.edu,-76.41,24.9,0.0,21.6,66.5,76.85,35.41,4.0,4,1,4,0.6408,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Counseling regarding your education and AAS courses,22.07,11.9,0.0,19.94,12.4,17.35,15.26,5.5,4,1,7,0.6408,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Declaring the Major,59.97,5.6,0.0,1.2,6.8,7.32,9.05,0.5,1,1,3,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"As a declared major, you will have the benefit of enrolling into AAS upper division classes without issues. Our majors never have to be concerned about getting into a required course to fulfill the major requirement. The small class sizes contribute to a better learning experience and our students graduate on time. Declaring the AAS major is a simple process once you have completed the prerequisite courses.",54.42,9.8,11.2,11.5,11.1,11.77,9.89,10.375,20,4,67,0.9536,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"The process of declaring the major takes a few minutes, if that much, and you may declare at any time during the year. Schedule a preliminary meeting with the UA to discuss declaring the major, double majoring or doing a simultaneous degree in 608 Social Sciences Building during regular in person office hours Tuesday and Thursday 9:00am – 12:00pm and 1:00pm to 4:00pmor you can request a zoom appointment Monday, Wednesday or Friday mornings 10-12pm. The following materials are required and the necessary forms are available at the department. You can also download them here:",47.62,12.5,11.7,12.8,14.6,12.07,11.19,14.125,23,4,94,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"*If you have taken any of the prerequisites at another college or university, you will need to supply a copy of the course descriptions or syllabi to be reviewed for approval.",48.47,14.2,0.0,16.27,16.1,9.88,8.74,19.5,7,1,31,0.4767,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,A student file will be created and maintained in the department for five years.,74.19,6.4,0.0,11.31,7.8,9.04,9.97,8.0,4,1,14,0.25,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Declaring the AAS Minors,75.88,3.7,0.0,1.6,5.3,7.25,15.68,1.0,2,1,4,0.6408,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Students need to declare their minor in the Departmentno later than the semester before your Expected Graduation Term (EGT).Interested students should complete theUG Minor Appto declare.,32.9,11.9,0.0,11.35,14.2,16.86,11.57,8.0,10,2,26,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"After completing ALL minor courses, fill out theCompletion of L&S Minor Form(or pick up form from L&S Office of Undergraduate Advising in 206 Evans Hall and submit it to the dept. UA.",39.0,15.8,0.0,17.8,16.9,9.76,11.64,20.0,7,1,32,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Clark Institute Scholars,34.59,9.2,0.0,14.53,14.6,16.95,19.58,1.5,2,1,3,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"The VèVè A. Clark Institute is a small cadre of scholars majoring (or intending to major) in the discipline of African American Studies who will form an intellectual community that will prepare them to meet the rigor and intellectual demands of top graduate programs, professional schools, and postgraduate careers. The program is open to students who have declared (or intend to declare) the African American Studies major and who have at least two years remaining in their undergraduate career at UC Berkeley.A complete application consists of",41.19,12.9,14.2,14.18,14.5,13.11,10.76,14.5,26,4,86,0.8126,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Please submit all materials electronically to:veveclarkinstitute@berkeley.edu,-53.06,22.2,0.0,22.4,38.1,45.87,19.72,5.0,5,1,6,0.3182,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Enrollment Information & Tips,-24.64,17.4,0.0,27.87,20.9,22.75,19.58,3.0,2,1,3,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,ADVISER HOLDSEach semester Advisor Holds will be placed on student’s records to prevent majors from registering for classes until it is released by the Dept. UA. This procedure is to ensure that students review their progress in the major and receive up-to-date information on graduation requirements. Majors will be notified via email when it is possible to see the UA to remove the Holds. Adviser Holds willnotbe released by phone or email except for students who are studying abroad or on medical leave. All other students must come in person or schedule a zoom appointment with the UA to review their schedule and have the Hold released.,58.21,10.5,12.7,12.67,12.8,11.26,9.42,12.8,22,5,107,0.6486,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"CALCENTRALAAS majors can register for impacted courses outside the major during Phase I of CalCentral. Seats are set aside in CalCentral for majors; however, you should make sure you are enrolled in your AAS courses at the beginning of Phase II. If you have a problem enrolling into a class, contact the Undergraduate Adviser for assistance.",52.49,10.6,13.6,12.48,12.0,11.72,9.36,12.666666666666666,13,3,56,0.5904,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"ENROLLMENT CHANGESAttendance at all class meetings, including discussion sections, is required during the first 2 weeks in all courses. Instructors usually drop students for non-attendance. There is generally about a 20% drop rate in most upper division courses, and a higher rate in lower division courses. It is important for students who cannot attend class because of a conflict to write a note to the instructor or GSI explaining why you missed class, but that you still intend to take it.",50.87,11.2,13.4,13.55,12.8,11.66,9.52,13.375,19,4,81,-0.5499,Negative
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"WAITLIST PRIORITYAAS Waitlists are processed manually and students are added selectively instead of by the numerical order in CalCentral. Department majors, minors, and students attending the classes receive priority. Students are also added to class at the discretion of the instructor.",32.19,12.2,13.6,15.24,13.8,16.35,11.25,10.166666666666666,17,3,41,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"SHOULD YOU DROP YOURSELF FROM A CLASS?YES!! Students should never assume they have been dropped from a course or course waitlist, and should always check on CalCentral to make sure they have or haven’t been dropped from a course after the second week.",83.49,7.0,0.0,9.53,12.2,10.1,6.91,11.25,4,2,43,-0.2771,Negative
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,CHANGE IN COURSES SCHEDULEStudents may add and drop courses on CalCentral until the fifth week of class unless the course is listed as an Early Drop Deadline (EDD) course. EDD courses must be dropped by the end of the second week. All students should print a copy of their schedule each time they use CalCentral.,78.28,6.9,8.8,8.77,9.8,9.4,7.13,10.166666666666666,7,3,55,-0.4939,Negative
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"PREREQUISITES FOR NON-MAJORS AND NON-MINORSStudents who are not majoring or minoring in African American Studies but wish to take AAS core courses (100, 101 and 116) are encouraged to take one of the following: AAS 4A, 5A, 5B, or their equivalent beforehand.",28.85,19.7,0.0,23.47,23.9,12.2,13.24,31.0,10,1,42,0.9661,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"AAS LITERATURE RACKThe Literature Rack is located inside the AAS Administrative Office (650 Social Sciences Building). Students will find updates on the major, the minor, and much more vital information.",30.87,12.7,0.0,11.33,13.4,14.61,11.22,9.0,11,2,30,0.8992,Positive
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,RELATED LINKS,35.61,8.8,0.0,20.8,7.8,4.2,19.53,1.0,1,1,2,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Address,36.62,8.4,0.0,0.4,12.0,-4.81,0.05,-0.5,0,1,1,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"660 Social Sciences Building #2572Berkeley, CA 94720",64.37,6.0,0.0,2.8,13.0,16.54,17.52,2.5,3,1,7,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"Office Hours:Monday – Friday 9am-12pm, 1pm–4pm",49.48,7.6,0.0,2.0,19.7,20.04,19.67,2.0,0,1,5,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Phone / Email,120.21,-3.1,0.0,0.8,5.5,-1.61,11.63,0.5,0,1,2,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Voice: (510) 642-7084Fax: (510) 642-0318,100.24,0.5,0.0,2.0,15.0,10.76,16.52,1.5,1,1,5,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Administration,-217.19,43.8,0.0,40.4,45.0,35.8,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Academic Personnel LeaveBusiness & FinancePurchasing ServicesReimbursements,-136.65,33.6,0.0,42.0,47.0,58.32,19.67,7.0,5,1,5,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,"University of California, Berkeley",-34.11,19.0,0.0,21.6,17.1,20.3,15.68,3.0,3,1,4,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Follow us:,77.91,2.9,0.0,0.8,0.8,-7.41,0.1,0.0,0,1,2,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Powered by Open Berkeley,75.88,3.7,0.0,1.6,5.3,7.25,11.73,1.0,2,1,4,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,AccessibilityStatement,-470.99,79.2,0.0,40.4,82.7,82.2,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,NondiscriminationPolicy Statement,-218.2,44.2,0.0,20.8,54.9,62.2,19.53,1.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,PrivacyStatement,-217.19,43.8,0.0,40.4,54.4,47.4,19.48,0.5,1,1,1,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Copyright © 2025 UC Regents; all rights reserved,81.29,3.7,0.0,2.8,9.7,12.36,17.52,3.0,3,1,7,0.0,Neutral
https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,Back to Top,119.19,-2.7,0.0,1.2,-5.9,-8.18,0.15,0.5,0,1,3,0.2023,Positive
https://africam.berkeley.edu/academic-opportunities/,Academic Opportunities,-133.6,32.4,0.0,40.8,29.0,30.3,19.53,2.0,2,1,2,0.3818,Positive
https://africam.berkeley.edu/academic-opportunities/,Independent Study,-6.7,14.7,0.0,20.8,17.3,15.8,11.63,1.0,1,1,2,0.0,Neutral
https://africam.berkeley.edu/academic-opportunities/,The Department of African American Studies encourages majors to conduct self-initiated research projects. Students interested in working one-on-one with a faculty member can enroll in either AAS 197 Internship/Field of Study or AAS 99/199 Independent Study. Students are responsible for finding a faculty sponsor willing to work with them on their project. Please note these courses can only be taken for P/NP grade.,46.98,10.6,12.2,10.76,12.9,14.09,10.94,10.375,17,4,63,0.9563,Positive
https://africam.berkeley.edu/academic-opportunities/,AAS 197 Internship/Field of Study,66.4,5.2,0.0,10.0,8.4,10.76,13.36,2.5,1,1,5,0.6408,Positive
https://africam.berkeley.edu/academic-opportunities/,"The Internship Program requires fieldwork in an organization concerned with women’s issues, plus individual conferences with faculty. Students must present a written scope of work to the supervising faculty member before enrolling. Credit is earned through written work completed by students interpreting the experience via diaries, historical reports, and creative work done for the organization. This course is available to upper-division students only(those with 60 or more units completed by the beginning of the relevant semester).",26.81,14.2,14.9,14.44,16.7,17.06,11.23,13.75,26,4,76,0.6705,Positive
https://africam.berkeley.edu/academic-opportunities/,AAS 99/199 Supervised Independent Study for Advanced Undergraduates,4.14,14.7,0.0,18.2,17.9,23.16,17.85,6.0,4,1,8,0.7378,Positive
https://africam.berkeley.edu/academic-opportunities/,Prerequisites: African American Studies major. This course consists of reading and conferences with the instructor regarding a field of study that does not coincide with that of any regular course and is specific enough to enable the student to write an essay based upon the student’s study. AAS 99 is for lower-division students (59 or fewer units at the beginning of the relevant semester) and AAS 199 is for upper-division students(60 or more units completed at the beginning of the relevant semester.,43.77,13.9,16.7,16.29,16.5,12.25,10.38,19.333333333333332,20,3,82,0.8579,Positive
https://africam.berkeley.edu/academic-opportunities/,Enrollment Procedure,-49.0,20.6,0.0,40.8,24.3,24.5,19.53,2.0,2,1,2,0.0,Neutral
https://africam.berkeley.edu/academic-opportunities/,"Once your faculty sponsor approves your project and you submit your materials, you will receive a Class Number to enroll in the class.",56.59,11.1,0.0,12.68,13.0,10.74,9.58,13.5,6,1,23,0.4588,Positive
https://africam.berkeley.edu/academic-opportunities/,Research Opportunities,-91.3,26.5,0.0,20.8,29.0,30.3,19.53,1.0,2,1,2,0.3818,Positive
https://africam.berkeley.edu/academic-opportunities/,VèVè Clark Institute for Engaged Scholars of African American StudiesPlease visitClark Scholarsfor more information and application.,12.94,15.4,0.0,18.9,21.0,24.47,15.29,14.0,8,1,16,0.4019,Positive
https://africam.berkeley.edu/academic-opportunities/,"Undergraduate Research Apprentice Program (URAP)UC Berkeley is well known for its dynamic research environment. As an undergraduate student there are many ways to participate in research on campus. One such program is URAP, which provides opportunities for students to work with faculty on cutting-edge research. By working closely with faculty, students can cultivate professional relationships, enhance their research skills, and deepen their knowledge and skills in areas of special interest. Applications are online. For a complete listing and description of research projects, visit theURAP websiteor stop by 5 Durant Hall.",39.33,11.5,12.5,12.22,14.3,15.94,11.22,10.166666666666666,32,6,90,0.8689,Positive
https://africam.berkeley.edu/academic-opportunities/,Summer Undergraduate Research Fellowship/L&SThis program (SURF/L&S) allows UC Berkeley undergraduates in the College of Letters and Science to spend the summer doing concentrated research in preparation for a senior thesis. Application deadline generally is in the spring. SeeSummer Undergraduate Research Fellowships (SURF)for more information.,14.25,14.9,13.6,14.06,18.2,20.47,13.34,10.666666666666666,20,3,44,0.0,Neutral
https://africam.berkeley.edu/academic-opportunities/,"The Art of Writing Program – Townsend Center for the HumanitiesArt of Writing helps prepare undergraduates who have completed UC Berkeley’s Reading & Composition requirement to write lucidly, directly, and eloquently in a variety of styles. At the heart of the program, grant-funded seminars create collaborative and intimate writing communities among undergraduates, a graduate student instructor, and a faculty member. SeeArt of Writingfor more information.",16.32,16.2,17.9,19.83,18.6,17.98,11.95,17.5,23,3,63,0.5719,Positive
https://africam.berkeley.edu/academic-opportunities/,"Center for Race and Gender Undergraduate Student Grants ProgramThe Center for Race and Gender(CRG) at the University of California Berkeley, announces the availability of grants of $100 to $1,000 to fund undergraduates for research or creative projects that address issues of race and gender. Topics should be consonant with CRG’s mandate to support critical student research on race, gender, and their intersections in a wide variety of social, cultural, and institutional contexts, especially on the Berkeley campus and its neighboring communities, but also in California, the nation, or the world.",8.88,23.2,0.0,24.22,27.8,15.45,12.36,30.5,29,2,90,0.4678,Positive
https://africam.berkeley.edu/academic-opportunities/,"The Haas Scholars ProgramThe Robert & Colleen Haas Scholars Program funds financial aid eligible, academically talented undergraduates to engage in a sustained research, field-study, or creative project in the summer before and during their senior year at UC Berkeley. Each year, twenty Haas Scholars are selected from all disciplines and departments across the University on the basis of the merit and originality of their project proposals. For more information go toHaas Scholars Program.",30.2,15.0,14.6,16.27,18.0,16.02,11.41,16.166666666666668,24,3,72,0.886,Positive
